"","Trait","AccessionName","AccessionNumber","variable","value"
"1053","DH","LA1040","Y36","rep1",11
"1054","LN","LA1040","Y36","rep1",1
"1055","RL","LA1040","Y36","rep1",0.261682243
"1056","SL","LA1040","Y36","rep1",0.553571429
"1057","ST","LA1040","Y36","rep1",0.572864322
"1058","RFM","LA1040","Y36","rep1",0.210981086
"1059","SFM","LA1040","Y36","rep1",0.266824997
"1060","TFM","LA1040","Y36","rep1",0.256975195
"1061","RDM","LA1040","Y36","rep1",0.275700935
"1062","SDM","LA1040","Y36","rep1",0.310741249
"1063","TDM","LA1040","Y36","rep1",0.286114535
"1064","WC","LA1040","Y36","rep1",0.255326837
"1065","WCn","LA1040","Y36","rep1",0.129308492
"1066","GPI","LA1040","Y36","rep1",1.108479608
"1067","GPF","LA1040","Y36","rep1",0.457548149
"1068","dGP","LA1040","Y36","rep1",0.401979724
"1069","L4FM","LA1040","Y36","rep1",0.232438548
"1070","L4DM","LA1040","Y36","rep1",0.206011271
"1071","L4A","LA1040","Y36","rep1",0.295493432
"1072","RNa","LA1040","Y36","rep1",13.27612928
"1073","RK","LA1040","Y36","rep1",0.955622999
"1074","LNa","LA1040","Y36","rep1",32.3305157
"1075","LK","LA1040","Y36","rep1",0.487342564
"1076","LeafSucculence","LA1040","Y36","rep1",0.794613499
"1077","LeafPerimeter","LA1040","Y36","rep1",0.309680854
"1078","LeafVertLength","LA1040","Y36","rep1",0.40435235
"1079","LeafHorizWidth","LA1040","Y36","rep1",0.5
"1080","LeafElongationFactor","LA1040","Y36","rep1",1.23655914
"1081","DG","LA1041","Y37","rep1",8
"1082","DL4","LA1041","Y37","rep1",13
"1083","DH","LA1041","Y37","rep1",11
"1084","LN","LA1041","Y37","rep1",0.666666667
"1085","RL","LA1041","Y37","rep1",0.836538462
"1086","SL","LA1041","Y37","rep1",NA
"1087","ST","LA1041","Y37","rep1",0.160583942
"1088","RFM","LA1041","Y37","rep1",0.268696532
"1089","SFM","LA1041","Y37","rep1",NA
"1090","TFM","LA1041","Y37","rep1",0.448448408
"1091","RDM","LA1041","Y37","rep1",0.315511163
"1092","SDM","LA1041","Y37","rep1",0.493656286
"1093","TDM","LA1041","Y37","rep1",0.425587159
"1094","WC","LA1041","Y37","rep1",NA
"1095","WCn","LA1041","Y37","rep1",-0.035862805
"1096","GPI","LA1041","Y37","rep1",0.952674689
"1097","GPF","LA1041","Y37","rep1",NA
"1098","dGP","LA1041","Y37","rep1",0.520157109
"1099","L4FM","LA1041","Y37","rep1",0.329005168
"1100","L4DM","LA1041","Y37","rep1",0.319311663
"1101","L4A","LA1041","Y37","rep1",0.381479711
"1102","RNa","LA1041","Y37","rep1",21.17433279
"1103","RK","LA1041","Y37","rep1",0.616991179
"1104","LNa","LA1041","Y37","rep1",15.816958
"1105","LK","LA1041","Y37","rep1",0.582871698
"1106","LeafSucculence","LA1041","Y37","rep1",0.865310719
"1107","LeafPerimeter","LA1041","Y37","rep1",0.461852979
"1108","LeafVertLength","LA1041","Y37","rep1",0.56209285
"1109","LeafHorizWidth","LA1041","Y37","rep1",0.607583397
"1110","LeafElongationFactor","LA1041","Y37","rep1",1.080924855
"1111","DG","LA1042","Y38","rep1",5
"1112","DL4","LA1042","Y38","rep1",NA
"1113","DH","LA1042","Y38","rep1",11
"1114","LN","LA1042","Y38","rep1",0.5
"1115","RL","LA1042","Y38","rep1",1.297029703
"1116","SL","LA1042","Y38","rep1",0.153846154
"1117","ST","LA1042","Y38","rep1",0.268456376
"1118","RFM","LA1042","Y38","rep1",0.133847257
"1119","SFM","LA1042","Y38","rep1",0.108947195
"1120","TFM","LA1042","Y38","rep1",0.112690405
"1121","RDM","LA1042","Y38","rep1",0.226600985
"1122","SDM","LA1042","Y38","rep1",0.13671691
"1123","TDM","LA1042","Y38","rep1",0.13769523
"1124","WC","LA1042","Y38","rep1",0.110985082
"1125","WCn","LA1042","Y38","rep1",-9.368943603
"1126","GPI","LA1042","Y38","rep1",0.640901817
"1127","GPF","LA1042","Y38","rep1",0.12309848
"1128","dGP","LA1042","Y38","rep1",0.05538625
"1129","L4FM","LA1042","Y38","rep1",0.060444401
"1130","L4DM","LA1042","Y38","rep1",0.076604555
"1131","L4A","LA1042","Y38","rep1",0.070720439
"1132","RNa","LA1042","Y38","rep1",18.53145906
"1133","RK","LA1042","Y38","rep1",0.878100796
"1134","LNa","LA1042","Y38","rep1",38.92310676
"1135","LK","LA1042","Y38","rep1",0.952995044
"1136","LeafSucculence","LA1042","Y38","rep1",0.830831335
"1137","LeafPerimeter","LA1042","Y38","rep1",0.140618698
"1138","LeafVertLength","LA1042","Y38","rep1",0.216215291
"1139","LeafHorizWidth","LA1042","Y38","rep1",0.339548965
"1140","LeafElongationFactor","LA1042","Y38","rep1",1.570576923
"1141","DG","LA1043","Y39","rep1",5
"1142","DL4","LA1043","Y39","rep1",NA
"1143","DH","LA1043","Y39","rep1",11
"1144","LN","LA1043","Y39","rep1",0.666666667
"1145","RL","LA1043","Y39","rep1",0.915254237
"1146","SL","LA1043","Y39","rep1",0.333333333
"1147","ST","LA1043","Y39","rep1",0.407692308
"1148","RFM","LA1043","Y39","rep1",NA
"1149","SFM","LA1043","Y39","rep1",0.253474175
"1150","TFM","LA1043","Y39","rep1",0.271394861
"1151","RDM","LA1043","Y39","rep1",0.497849462
"1152","SDM","LA1043","Y39","rep1",0.349895144
"1153","TDM","LA1043","Y39","rep1",0.362429511
"1154","WC","LA1043","Y39","rep1",0.265338502
"1155","WCn","LA1043","Y39","rep1",-8.022428028
"1156","GPI","LA1043","Y39","rep1",1.181497418
"1157","GPF","LA1043","Y39","rep1",0.272247059
"1158","dGP","LA1043","Y39","rep1",0.153882725
"1159","L4FM","LA1043","Y39","rep1",0.27891204
"1160","L4DM","LA1043","Y39","rep1",0.327548807
"1161","L4A","LA1043","Y39","rep1",0.271633317
"1162","RNa","LA1043","Y39","rep1",20.20530917
"1163","RK","LA1043","Y39","rep1",0.87902321
"1164","LNa","LA1043","Y39","rep1",27.50611264
"1165","LK","LA1043","Y39","rep1",0.653726871
"1166","LeafSucculence","LA1043","Y39","rep1",1.007628217
"1167","LeafPerimeter","LA1043","Y39","rep1",0.321941112
"1168","LeafVertLength","LA1043","Y39","rep1",0.426646741
"1169","LeafHorizWidth","LA1043","Y39","rep1",0.498232033
"1170","LeafElongationFactor","LA1043","Y39","rep1",1.16782832
"1171","DG","LA1044","Y40","rep1",5
"1172","DL4","LA1044","Y40","rep1",14
"1173","DH","LA1044","Y40","rep1",11
"1174","LN","LA1044","Y40","rep1",0.333333333
"1175","RL","LA1044","Y40","rep1",NA
"1176","SL","LA1044","Y40","rep1",0.705882353
"1177","ST","LA1044","Y40","rep1",0.343137255
"1178","RFM","LA1044","Y40","rep1",0.045022696
"1179","SFM","LA1044","Y40","rep1",0.169980451
"1180","TFM","LA1044","Y40","rep1",0.141061504
"1181","RDM","LA1044","Y40","rep1",0.197952218
"1182","SDM","LA1044","Y40","rep1",0.27917928
"1183","TDM","LA1044","Y40","rep1",0.266737968
"1184","WC","LA1044","Y40","rep1",0.133449929
"1185","WCn","LA1044","Y40","rep1",4.215925263
"1186","GPI","LA1044","Y40","rep1",1.239225137
"1187","GPF","LA1044","Y40","rep1",0.265791462
"1188","dGP","LA1044","Y40","rep1",0.011597609
"1189","L4FM","LA1044","Y40","rep1",0.308554691
"1190","L4DM","LA1044","Y40","rep1",0.295261239
"1191","L4A","LA1044","Y40","rep1",0.297001794
"1192","RNa","LA1044","Y40","rep1",23.49717751
"1193","RK","LA1044","Y40","rep1",0.61870483
"1194","LNa","LA1044","Y40","rep1",15.25148894
"1195","LK","LA1044","Y40","rep1",0.576483438
"1196","LeafSucculence","LA1044","Y40","rep1",1.042956189
"1197","LeafPerimeter","LA1044","Y40","rep1",0.302206232
"1198","LeafVertLength","LA1044","Y40","rep1",0.46559945
"1199","LeafHorizWidth","LA1044","Y40","rep1",0.509004237
"1200","LeafElongationFactor","LA1044","Y40","rep1",1.093172963
"1201","DG","LA1136","Y41","rep1",6
"1202","DL4","LA1136","Y41","rep1",15
"1203","DH","LA1136","Y41","rep1",11
"1204","LN","LA1136","Y41","rep1",0.333333333
"1205","RL","LA1136","Y41","rep1",-0.133333333
"1206","SL","LA1136","Y41","rep1",0.117647059
"1207","ST","LA1136","Y41","rep1",0.442307692
"1208","RFM","LA1136","Y41","rep1",0.125904116
"1209","SFM","LA1136","Y41","rep1",0.163272927
"1210","TFM","LA1136","Y41","rep1",0.157510857
"1211","RDM","LA1136","Y41","rep1",0.369105691
"1212","SDM","LA1136","Y41","rep1",0.262465753
"1213","TDM","LA1136","Y41","rep1",0.230901288
"1214","WC","LA1136","Y41","rep1",0.15303419
"1215","WCn","LA1136","Y41","rep1",17.23673998
"1216","GPI","LA1136","Y41","rep1",1.260049677
"1217","GPF","LA1136","Y41","rep1",0.294143588
"1218","dGP","LA1136","Y41","rep1",0.208527389
"1219","L4FM","LA1136","Y41","rep1",0.070142554
"1220","L4DM","LA1136","Y41","rep1",0.102564103
"1221","L4A","LA1136","Y41","rep1",0.104506992
"1222","RNa","LA1136","Y41","rep1",31.86056389
"1223","RK","LA1136","Y41","rep1",1.469135764
"1224","LNa","LA1136","Y41","rep1",29.42585219
"1225","LK","LA1136","Y41","rep1",0.722228332
"1226","LeafSucculence","LA1136","Y41","rep1",0.645313259
"1227","LeafPerimeter","LA1136","Y41","rep1",0.169572419
"1228","LeafVertLength","LA1136","Y41","rep1",0.348339938
"1229","LeafHorizWidth","LA1136","Y41","rep1",0.273066493
"1230","LeafElongationFactor","LA1136","Y41","rep1",NA
"1231","DG","LA1137","Y42","rep1",3
"1232","DL4","LA1137","Y42","rep1",13
"1233","DH","LA1137","Y42","rep1",11
"1234","LN","LA1137","Y42","rep1",0.666666667
"1235","RL","LA1137","Y42","rep1",0.930555556
"1236","SL","LA1137","Y42","rep1",0.642857143
"1237","ST","LA1137","Y42","rep1",0.503816794
"1238","RFM","LA1137","Y42","rep1",0.173293094
"1239","SFM","LA1137","Y42","rep1",NA
"1240","TFM","LA1137","Y42","rep1",NA
"1241","RDM","LA1137","Y42","rep1",0.340759076
"1242","SDM","LA1137","Y42","rep1",NA
"1243","TDM","LA1137","Y42","rep1",NA
"1244","WC","LA1137","Y42","rep1",NA
"1245","WCn","LA1137","Y42","rep1",-13.70588281
"1246","GPI","LA1137","Y42","rep1",1.033081618
"1247","GPF","LA1137","Y42","rep1",0.209241991
"1248","dGP","LA1137","Y42","rep1",0.064271809
"1249","L4FM","LA1137","Y42","rep1",NA
"1250","L4DM","LA1137","Y42","rep1",0.299315849
"1251","L4A","LA1137","Y42","rep1",0.356095072
"1252","RNa","LA1137","Y42","rep1",19.7595729
"1253","RK","LA1137","Y42","rep1",0.646607731
"1254","LNa","LA1137","Y42","rep1",37.72467487
"1255","LK","LA1137","Y42","rep1",0.392164817
"1256","LeafSucculence","LA1137","Y42","rep1",NA
"1257","LeafPerimeter","LA1137","Y42","rep1",0.328831374
"1258","LeafVertLength","LA1137","Y42","rep1",0.43355563
"1259","LeafHorizWidth","LA1137","Y42","rep1",0.609374641
"1260","LeafElongationFactor","LA1137","Y42","rep1",1.405458437
"1261","DG","LA1138","Y43","rep1",5
"1262","DL4","LA1138","Y43","rep1",NA
"1263","DH","LA1138","Y43","rep1",11
"1264","LN","LA1138","Y43","rep1",0.5
"1265","RL","LA1138","Y43","rep1",-1.333333333
"1266","SL","LA1138","Y43","rep1",0.351351351
"1267","ST","LA1138","Y43","rep1",0.359223301
"1268","RFM","LA1138","Y43","rep1",0.34983657
"1269","SFM","LA1138","Y43","rep1",0.110812144
"1270","TFM","LA1138","Y43","rep1",0.156018182
"1271","RDM","LA1138","Y43","rep1",0.648192771
"1272","SDM","LA1138","Y43","rep1",0.218874502
"1273","TDM","LA1138","Y43","rep1",0.230253879
"1274","WC","LA1138","Y43","rep1",0.14748216
"1275","WCn","LA1138","Y43","rep1",1.024732838
"1276","GPI","LA1138","Y43","rep1",1.021330509
"1277","GPF","LA1138","Y43","rep1",0.994636922
"1278","dGP","LA1138","Y43","rep1",0.967944641
"1279","L4FM","LA1138","Y43","rep1",0.122068096
"1280","L4DM","LA1138","Y43","rep1",0.12731668
"1281","L4A","LA1138","Y43","rep1",0.132759615
"1282","RNa","LA1138","Y43","rep1",30.9930197
"1283","RK","LA1138","Y43","rep1",1.61848796
"1284","LNa","LA1138","Y43","rep1",95.97235626
"1285","LK","LA1138","Y43","rep1",0.897864813
"1286","LeafSucculence","LA1138","Y43","rep1",0.914862024
"1287","LeafPerimeter","LA1138","Y43","rep1",0.218630947
"1288","LeafVertLength","LA1138","Y43","rep1",0.368575674
"1289","LeafHorizWidth","LA1138","Y43","rep1",0.283987489
"1290","LeafElongationFactor","LA1138","Y43","rep1",0.770580861
"1291","DG","LA1139","Y44","rep1",4
"1292","DL4","LA1139","Y44","rep1",12
"1293","DH","LA1139","Y44","rep1",11
"1294","LN","LA1139","Y44","rep1",NA
"1295","RL","LA1139","Y44","rep1",NA
"1296","SL","LA1139","Y44","rep1",0.5
"1297","ST","LA1139","Y44","rep1",0.306666667
"1298","RFM","LA1139","Y44","rep1",0.067595046
"1299","SFM","LA1139","Y44","rep1",0.095421373
"1300","TFM","LA1139","Y44","rep1",0.09177343
"1301","RDM","LA1139","Y44","rep1",0.200917431
"1302","SDM","LA1139","Y44","rep1",0.285071942
"1303","TDM","LA1139","Y44","rep1",0.239420655
"1304","WC","LA1139","Y44","rep1",0.081654496
"1305","WCn","LA1139","Y44","rep1",-6.891625897
"1306","GPI","LA1139","Y44","rep1",NA
"1307","GPF","LA1139","Y44","rep1",NA
"1308","dGP","LA1139","Y44","rep1",-0.006329321
"1309","L4FM","LA1139","Y44","rep1",0.044936183
"1310","L4DM","LA1139","Y44","rep1",0.075193798
"1311","L4A","LA1139","Y44","rep1",0.041947128
"1312","RNa","LA1139","Y44","rep1",11.97247901
"1313","RK","LA1139","Y44","rep1",0.972737354
"1314","LNa","LA1139","Y44","rep1",19.86040715
"1315","LK","LA1139","Y44","rep1",1.218430866
"1316","LeafSucculence","LA1139","Y44","rep1",0.993397051
"1317","LeafPerimeter","LA1139","Y44","rep1",0.122845959
"1318","LeafVertLength","LA1139","Y44","rep1",0.167731008
"1319","LeafHorizWidth","LA1139","Y44","rep1",0.176886342
"1320","LeafElongationFactor","LA1139","Y44","rep1",1.054643884
"1321","DG","LA1141","Y45","rep1",7
"1322","DL4","LA1141","Y45","rep1",16
"1323","DH","LA1141","Y45","rep1",11
"1324","LN","LA1141","Y45","rep1",NA
"1325","RL","LA1141","Y45","rep1",NA
"1326","SL","LA1141","Y45","rep1",NA
"1327","ST","LA1141","Y45","rep1",NA
"1328","RFM","LA1141","Y45","rep1",NA
"1329","SFM","LA1141","Y45","rep1",NA
"1330","TFM","LA1141","Y45","rep1",NA
"1331","RDM","LA1141","Y45","rep1",NA
"1332","SDM","LA1141","Y45","rep1",NA
"1333","TDM","LA1141","Y45","rep1",NA
"1334","WC","LA1141","Y45","rep1",NA
"1335","WCn","LA1141","Y45","rep1",NA
"1336","GPI","LA1141","Y45","rep1",1.21050761
"1337","GPF","LA1141","Y45","rep1",0.115051286
"1338","dGP","LA1141","Y45","rep1",-0.812249956
"1339","L4FM","LA1141","Y45","rep1",NA
"1340","L4DM","LA1141","Y45","rep1",NA
"1341","L4A","LA1141","Y45","rep1",NA
"1342","RNa","LA1141","Y45","rep1",NA
"1343","RK","LA1141","Y45","rep1",NA
"1344","LNa","LA1141","Y45","rep1",NA
"1345","LK","LA1141","Y45","rep1",NA
"1346","LeafSucculence","LA1141","Y45","rep1",NA
"1347","LeafPerimeter","LA1141","Y45","rep1",NA
"1348","LeafVertLength","LA1141","Y45","rep1",NA
"1349","LeafHorizWidth","LA1141","Y45","rep1",NA
"1350","LeafElongationFactor","LA1141","Y45","rep1",NA
"1351","DG","LA1401","Y46","rep1",6
"1352","DL4","LA1401","Y46","rep1",NA
"1353","DH","LA1401","Y46","rep1",11
"1354","LN","LA1401","Y46","rep1",0.666666667
"1355","RL","LA1401","Y46","rep1",1.173913043
"1356","SL","LA1401","Y46","rep1",0.657142857
"1357","ST","LA1401","Y46","rep1",0.370967742
"1358","RFM","LA1401","Y46","rep1",0.191066489
"1359","SFM","LA1401","Y46","rep1",0.321709442
"1360","TFM","LA1401","Y46","rep1",0.29729471
"1361","RDM","LA1401","Y46","rep1",0.232394366
"1362","SDM","LA1401","Y46","rep1",0.449421238
"1363","TDM","LA1401","Y46","rep1",0.398533822
"1364","WC","LA1401","Y46","rep1",0.291123299
"1365","WCn","LA1401","Y46","rep1",NA
"1366","GPI","LA1401","Y46","rep1",1.129284004
"1367","GPF","LA1401","Y46","rep1",0.421406415
"1368","dGP","LA1401","Y46","rep1",0.303862801
"1369","L4FM","LA1401","Y46","rep1",0.29533239
"1370","L4DM","LA1401","Y46","rep1",0.346938776
"1371","L4A","LA1401","Y46","rep1",0.291983016
"1372","RNa","LA1401","Y46","rep1",30.42328042
"1373","RK","LA1401","Y46","rep1",0.465210356
"1374","LNa","LA1401","Y46","rep1",17.30623533
"1375","LK","LA1401","Y46","rep1",0.618455056
"1376","LeafSucculence","LA1401","Y46","rep1",0.995438153
"1377","LeafPerimeter","LA1401","Y46","rep1",0.278560004
"1378","LeafVertLength","LA1401","Y46","rep1",0.363141375
"1379","LeafHorizWidth","LA1401","Y46","rep1",0.457274943
"1380","LeafElongationFactor","LA1401","Y46","rep1",1.25917791
"1381","DG","LA1403","Y48","rep1",4
"1382","DL4","LA1403","Y48","rep1",17
"1383","DH","LA1403","Y48","rep1",11
"1384","LN","LA1403","Y48","rep1",0.666666667
"1385","RL","LA1403","Y48","rep1",1.285714286
"1386","SL","LA1403","Y48","rep1",0.166666667
"1387","ST","LA1403","Y48","rep1",0.3125
"1388","RFM","LA1403","Y48","rep1",0.501435956
"1389","SFM","LA1403","Y48","rep1",0.344249596
"1390","TFM","LA1403","Y48","rep1",0.360433484
"1391","RDM","LA1403","Y48","rep1",1.64673913
"1392","SDM","LA1403","Y48","rep1",0.499795334
"1393","TDM","LA1403","Y48","rep1",0.506948305
"1394","WC","LA1403","Y48","rep1",0.352201749
"1395","WCn","LA1403","Y48","rep1",-5.541885182
"1396","GPI","LA1403","Y48","rep1",1.083360618
"1397","GPF","LA1403","Y48","rep1",0.351142425
"1398","dGP","LA1403","Y48","rep1",0.24313377
"1399","L4FM","LA1403","Y48","rep1",0.308201485
"1400","L4DM","LA1403","Y48","rep1",0.308959835
"1401","L4A","LA1403","Y48","rep1",0.274614101
"1402","RNa","LA1403","Y48","rep1",53.31945692
"1403","RK","LA1403","Y48","rep1",3.093238954
"1404","LNa","LA1403","Y48","rep1",15.80914598
"1405","LK","LA1403","Y48","rep1",0.442635614
"1406","LeafSucculence","LA1403","Y48","rep1",1.122072711
"1407","LeafPerimeter","LA1403","Y48","rep1",0.284794897
"1408","LeafVertLength","LA1403","Y48","rep1",0.536580093
"1409","LeafHorizWidth","LA1403","Y48","rep1",0.43636558
"1410","LeafElongationFactor","LA1403","Y48","rep1",0.813111836
"1411","DG","LA1404","Y49","rep1",3
"1412","DL4","LA1404","Y49","rep1",13
"1413","DH","LA1404","Y49","rep1",11
"1414","LN","LA1404","Y49","rep1",NA
"1415","RL","LA1404","Y49","rep1",-0.166666667
"1416","SL","LA1404","Y49","rep1",0.542857143
"1417","ST","LA1404","Y49","rep1",0.419117647
"1418","RFM","LA1404","Y49","rep1",0.255122143
"1419","SFM","LA1404","Y49","rep1",0.250244641
"1420","TFM","LA1404","Y49","rep1",0.250952691
"1421","RDM","LA1404","Y49","rep1",0.426530612
"1422","SDM","LA1404","Y49","rep1",0.297677794
"1423","TDM","LA1404","Y49","rep1",0.302887139
"1424","WC","LA1404","Y49","rep1",0.247157478
"1425","WCn","LA1404","Y49","rep1",1.459050299
"1426","GPI","LA1404","Y49","rep1",1.219095576
"1427","GPF","LA1404","Y49","rep1",0.312321336
"1428","dGP","LA1404","Y49","rep1",0.17910361
"1429","L4FM","LA1404","Y49","rep1",0.227028238
"1430","L4DM","LA1404","Y49","rep1",0.251359517
"1431","L4A","LA1404","Y49","rep1",0.263212967
"1432","RNa","LA1404","Y49","rep1",20.70844686
"1433","RK","LA1404","Y49","rep1",0.476300201
"1434","LNa","LA1404","Y49","rep1",51.64888033
"1435","LK","LA1404","Y49","rep1",0.680013447
"1436","LeafSucculence","LA1404","Y49","rep1",0.853079053
"1437","LeafPerimeter","LA1404","Y49","rep1",0.335917777
"1438","LeafVertLength","LA1404","Y49","rep1",0.41070947
"1439","LeafHorizWidth","LA1404","Y49","rep1",0.531242536
"1440","LeafElongationFactor","LA1404","Y49","rep1",1.293481667
"1441","DG","LA1406","Y50","rep1",3
"1442","DL4","LA1406","Y50","rep1",12
"1443","DH","LA1406","Y50","rep1",11
"1444","LN","LA1406","Y50","rep1",0.666666667
"1445","RL","LA1406","Y50","rep1",1.380952381
"1446","SL","LA1406","Y50","rep1",0.655172414
"1447","ST","LA1406","Y50","rep1",0.711711712
"1448","RFM","LA1406","Y50","rep1",0.363374755
"1449","SFM","LA1406","Y50","rep1",0.348309736
"1450","TFM","LA1406","Y50","rep1",0.350282147
"1451","RDM","LA1406","Y50","rep1",0.464666021
"1452","SDM","LA1406","Y50","rep1",0.415923567
"1453","TDM","LA1406","Y50","rep1",0.417905081
"1454","WC","LA1406","Y50","rep1",0.3450788
"1455","WCn","LA1406","Y50","rep1",1.350411354
"1456","GPI","LA1406","Y50","rep1",1.380481332
"1457","GPF","LA1406","Y50","rep1",0.382948459
"1458","dGP","LA1406","Y50","rep1",0.244485488
"1459","L4FM","LA1406","Y50","rep1",0.310042036
"1460","L4DM","LA1406","Y50","rep1",0.383123181
"1461","L4A","LA1406","Y50","rep1",0.420827806
"1462","RNa","LA1406","Y50","rep1",10.25782494
"1463","RK","LA1406","Y50","rep1",0.606908298
"1464","LNa","LA1406","Y50","rep1",21.53316794
"1465","LK","LA1406","Y50","rep1",0.806946715
"1466","LeafSucculence","LA1406","Y50","rep1",0.718235483
"1467","LeafPerimeter","LA1406","Y50","rep1",0.448885156
"1468","LeafVertLength","LA1406","Y50","rep1",0.509757574
"1469","LeafHorizWidth","LA1406","Y50","rep1",0.696953501
"1470","LeafElongationFactor","LA1406","Y50","rep1",1.367325917
"1471","DG","LA1407","Y51","rep1",4
"1472","DL4","LA1407","Y51","rep1",12
"1473","DH","LA1407","Y51","rep1",11
"1474","LN","LA1407","Y51","rep1",0.333333333
"1475","RL","LA1407","Y51","rep1",1.098360656
"1476","SL","LA1407","Y51","rep1",0.1875
"1477","ST","LA1407","Y51","rep1",-0.023809524
"1478","RFM","LA1407","Y51","rep1",0.09166165
"1479","SFM","LA1407","Y51","rep1",0.057988937
"1480","TFM","LA1407","Y51","rep1",0.065304975
"1481","RDM","LA1407","Y51","rep1",0.227506427
"1482","SDM","LA1407","Y51","rep1",0.190905995
"1483","TDM","LA1407","Y51","rep1",0.178052717
"1484","WC","LA1407","Y51","rep1",0.058007145
"1485","WCn","LA1407","Y51","rep1",7.899078203
"1486","GPI","LA1407","Y51","rep1",NA
"1487","GPF","LA1407","Y51","rep1",0.11802432
"1488","dGP","LA1407","Y51","rep1",-0.043766341
"1489","L4FM","LA1407","Y51","rep1",0.079016888
"1490","L4DM","LA1407","Y51","rep1",0.096411355
"1491","L4A","LA1407","Y51","rep1",0.103347551
"1492","RNa","LA1407","Y51","rep1",15.80645623
"1493","RK","LA1407","Y51","rep1",0.616717828
"1494","LNa","LA1407","Y51","rep1",18.38266881
"1495","LK","LA1407","Y51","rep1",0.954036377
"1496","LeafSucculence","LA1407","Y51","rep1",0.748318847
"1497","LeafPerimeter","LA1407","Y51","rep1",0.212005707
"1498","LeafVertLength","LA1407","Y51","rep1",0.351194175
"1499","LeafHorizWidth","LA1407","Y51","rep1",0.287237702
"1500","LeafElongationFactor","LA1407","Y51","rep1",0.817842379
"1501","DG","LA1408","Y52","rep1",4
"1502","DL4","LA1408","Y52","rep1",13
"1503","DH","LA1408","Y52","rep1",11
"1504","LN","LA1408","Y52","rep1",0.333333333
"1505","RL","LA1408","Y52","rep1",0.571428571
"1506","SL","LA1408","Y52","rep1",0.411764706
"1507","ST","LA1408","Y52","rep1",0.486486486
"1508","RFM","LA1408","Y52","rep1",0.086776377
"1509","SFM","LA1408","Y52","rep1",0.2185662
"1510","TFM","LA1408","Y52","rep1",0.196567209
"1511","RDM","LA1408","Y52","rep1",0.286480687
"1512","SDM","LA1408","Y52","rep1",0.422193211
"1513","TDM","LA1408","Y52","rep1",0.348112741
"1514","WC","LA1408","Y52","rep1",0.187048349
"1515","WCn","LA1408","Y52","rep1",76.88603075
"1516","GPI","LA1408","Y52","rep1",1.405656127
"1517","GPF","LA1408","Y52","rep1",0.366646082
"1518","dGP","LA1408","Y52","rep1",0.131852418
"1519","L4FM","LA1408","Y52","rep1",0.108234698
"1520","L4DM","LA1408","Y52","rep1",0.174712644
"1521","L4A","LA1408","Y52","rep1",0.106866291
"1522","RNa","LA1408","Y52","rep1",18.9291825
"1523","RK","LA1408","Y52","rep1",0.519864109
"1524","LNa","LA1408","Y52","rep1",18.14675528
"1525","LK","LA1408","Y52","rep1",NA
"1526","LeafSucculence","LA1408","Y52","rep1",0.956795687
"1527","LeafPerimeter","LA1408","Y52","rep1",0.201401601
"1528","LeafVertLength","LA1408","Y52","rep1",0.268856656
"1529","LeafHorizWidth","LA1408","Y52","rep1",0.368424542
"1530","LeafElongationFactor","LA1408","Y52","rep1",NA
"1531","DG","LA1409","Y53","rep1",4
"1532","DL4","LA1409","Y53","rep1",NA
"1533","DH","LA1409","Y53","rep1",11
"1534","LN","LA1409","Y53","rep1",NA
"1535","RL","LA1409","Y53","rep1",0.626086957
"1536","SL","LA1409","Y53","rep1",0.233333333
"1537","ST","LA1409","Y53","rep1",0.327586207
"1538","RFM","LA1409","Y53","rep1",0.098225307
"1539","SFM","LA1409","Y53","rep1",0.11984638
"1540","TFM","LA1409","Y53","rep1",0.114847066
"1541","RDM","LA1409","Y53","rep1",0.153563941
"1542","SDM","LA1409","Y53","rep1",0.204820798
"1543","TDM","LA1409","Y53","rep1",0.178626201
"1544","WC","LA1409","Y53","rep1",0.110922366
"1545","WCn","LA1409","Y53","rep1",-9.625620584
"1546","GPI","LA1409","Y53","rep1",1.125465889
"1547","GPF","LA1409","Y53","rep1",0.185813484
"1548","dGP","LA1409","Y53","rep1",0.039273631
"1549","L4FM","LA1409","Y53","rep1",0.104749239
"1550","L4DM","LA1409","Y53","rep1",0.11615174
"1551","L4A","LA1409","Y53","rep1",0.142979087
"1552","RNa","LA1409","Y53","rep1",14.25175839
"1553","RK","LA1409","Y53","rep1",NA
"1554","LNa","LA1409","Y53","rep1",23.30231113
"1555","LK","LA1409","Y53","rep1",0.517622057
"1556","LeafSucculence","LA1409","Y53","rep1",NA
"1557","LeafPerimeter","LA1409","Y53","rep1",0.222883432
"1558","LeafVertLength","LA1409","Y53","rep1",0.32585838
"1559","LeafHorizWidth","LA1409","Y53","rep1",0.338270442
"1560","LeafElongationFactor","LA1409","Y53","rep1",1.038184932
"1561","DG","LA1410","Y54","rep1",4
"1562","DL4","LA1410","Y54","rep1",12
"1563","DH","LA1410","Y54","rep1",11
"1564","LN","LA1410","Y54","rep1",0.5
"1565","RL","LA1410","Y54","rep1",0.042553191
"1566","SL","LA1410","Y54","rep1",0.3125
"1567","ST","LA1410","Y54","rep1",0.307692308
"1568","RFM","LA1410","Y54","rep1",0.113688233
"1569","SFM","LA1410","Y54","rep1",0.206124404
"1570","TFM","LA1410","Y54","rep1",0.192343604
"1571","RDM","LA1410","Y54","rep1",0.304535637
